,L1_fix_16,lengths,L1_fix_24,L1_fix_32,L1_fix_64,L1_var_16,L1_var_24,L1_var_32,L1_var_64,L1_quant_16,L1_quant_24,L1_quant_32,L1_quant_64,L2_fix_16,L2_fix_24,L2_fix_32,L2_fix_64,L2_var_16,L2_var_24,L2_var_32,L2_var_64,L2_quant_16,L2_quant_24,L2_quant_32,L2_quant_64
14,2.641282802360516,125100,2.358343214831013,2.1231497781516215,1.66893386920344,2.8268357530280093,2.476200475441867,2.321291334073668,2.0308951639392414,4.070516487799747,3.4556952301541637,3.0677927005542394,2.406922376141719,3.4579664650147146,3.1068064788506904,2.8016039231257444,2.1922003397902214,3.731662432116202,3.261238282963036,3.068006259792894,2.6742069066092737,5.384103833182484,4.5358874370768225,4.010930612758631,3.138008907346368
15,2.629641623546539,123286,2.2455971386652895,2.033232278589171,1.6001479915909298,2.8728783483028666,2.3945949603075323,2.179043278671323,1.9162361147145404,3.316770674224649,2.8175608105783243,2.5114126404305845,1.99123850761952,3.512476101667935,2.9380385077623896,2.6756182096021757,2.1192850030811834,3.7954423517448093,3.1549303059786165,2.866890664970361,2.517387121919246,4.269407183645025,3.6240813832097185,3.223499647466115,2.549766585394514
16,2.4980194992805917,126912,2.221988876696165,2.007402741678357,1.577672629025407,2.740528310607711,2.3726190675007777,2.180973595329076,1.899672977883865,3.336025951760787,2.850044853365612,2.5387976651778534,1.9950987526455017,3.306064496586454,2.9153807785500403,2.641594210559427,2.100446360205184,3.600406335442324,3.0964168866050703,2.854986225858552,2.4793717654209653,4.282277945954285,3.652863214807629,3.2486336284081236,2.5442691823020227
17,2.6809520133748737,117847,2.2628905186623216,1.9979291244218025,1.5578214564985025,2.9394309139984167,2.426511323809524,2.2039383321257215,1.8893266152053425,3.4329440525961727,2.892648756608607,2.568832895361903,1.9798340559858456,3.5273061729194684,2.9623508680698656,2.636662674734449,2.0548292008196953,3.8754923790426896,3.1882398522956854,2.8866807466120266,2.4723100732627903,4.380690184881202,3.6867909180482212,3.2707324795644066,2.515692626432904
18,2.7165941442974155,117847,2.355094008087266,2.0384445477405984,1.582477711895133,2.9565914989779585,2.4736025596610958,2.2593247265259997,1.9356688405635238,3.612667483197607,3.041224895826889,2.6907767737917125,2.0893084046153825,3.545228581946719,3.0951070566079895,2.683425158788334,2.086992387029635,3.8834272049123575,3.260352723986749,2.9594319662819046,2.535530079396598,4.619180717345736,3.8908223083425164,3.4577233957721734,2.676313765570981
19,2.770923355751433,116033,2.3853831796205522,2.105939233253219,1.6188529334405473,2.984868295333911,2.536891422470639,2.3104218159753627,1.9763328493404866,3.4252346935105873,2.9135058578644952,2.601074645485699,2.02527143732134,3.6206830732884385,3.1417939536343753,2.773507551968994,2.1419376845297102,3.888025329465351,3.312063828604704,3.029151680201622,2.5972005514666656,4.370904253416846,3.719671275010515,3.3117262755777883,2.580259738358176
20,2.8205332963207113,126006,2.4509404298341315,2.2004771193014196,1.6837599281298838,3.048519302840276,2.6107207927211182,2.3716395424594827,2.0671483331440186,3.452484334643533,2.967196203620332,2.649749843738879,2.075144508758609,3.6462353714785265,3.188633319014176,2.864554456329323,2.222906016553805,3.9838316279613175,3.3978527750795178,3.0874859686743816,2.709433826599935,4.4208771152619954,3.7744987913547265,3.3648207263428582,2.633046922679266
21,2.5831742395315223,119659,2.2448417861096606,2.056058654885137,1.60218262870102,2.833562739615784,2.4183036598337453,2.227057349293565,1.9375143806750235,3.5271254888605825,2.9768431274348006,2.6286043727958863,2.06059077021891,3.3745903496471716,2.9328064358451966,2.6945776105203962,2.113493535388557,3.704894011134358,3.1719860527864547,2.908303037091506,2.5410572513526595,4.522772052366922,3.810453365914912,3.3645509945529453,2.6311650127822745
22,2.7173230931653563,116487,2.305201133884231,2.1091971117963535,1.6495231464275297,2.8770190677956142,2.451602334044119,2.2719640682784634,1.969283323587423,3.695648319828876,3.1370291234453895,2.790214355923855,2.1691474612714403,3.5443958303458083,3.016019728471995,2.752900509167094,2.172752729509453,3.7524918353859857,3.1906806402487438,2.9568161891829914,2.5699470274384715,4.778712833796518,4.032172120644097,3.5683918641203927,2.7727687664330913
23,2.4775038339468676,155467,2.18078643977811,1.978852718926768,1.5768633042258273,2.680007434390813,2.3142920270991483,2.1334560175792454,1.8888147201817798,3.355218326393903,2.859475111625228,2.5491960586527025,1.9986517312275043,3.2237038877561734,2.8531972465878357,2.6004986826905405,2.0854679623551666,3.4944926017554447,3.035126161690283,2.8079387372934446,2.482075037092806,4.319365031628547,3.6691043301923814,3.2647347007042558,2.545572799666706
24,2.672322666975133,100170,2.387532491570308,2.135221440618789,1.6903213739502407,2.935323587404804,2.511141873201939,2.3120800711060543,2.037673534174135,3.401893833594227,2.8948622657598007,2.597317814903163,2.0420999053273134,3.4873581700262855,3.103066474147563,2.764703993002448,2.216673710820659,3.8460388065668294,3.2517150940771455,3.004951147277296,2.6375163939697006,4.370588444603321,3.7149613230743714,3.312103175276553,2.600824587031711
